google_place_id,place_name,place_group,place_type,island,region,latitude,longitude,place_photo_url,row_id,created_by,created_on,last_updated_by,updated_on,is_deleted
ChIJ13VIIbz1XBgRhr3WnXfihsM,MSANGI G,Nature & parks,garden,Unguja,Magharibi,-6.582865,39.0140407,,1,APPLICATION,2026-09-15 23:52:47.897215+05:30,,,f
ChIJFYuitnn1QRgRVMczbVPbFHQ,Msuka Beach,Nature & parks,nature_preserve,Pemba,Micheweni,-4.9044382,39.7310551,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnN_bgUdmRehj14N9FbbexQozY6fOXA6smsspbj-C5yiol7vA680H69jqeD9EKQBXk6su89QyKmSxbTx9uBkLbH-qOPg05Q0hQkY-H6wFw9okhNecdim_wqFXQZthhnYxnPEkdyeg=w915-h686-k-no,793,APPLICATION,2026-09-15 23:52:51.175723+05:30,APPLICATION,2026-09-16 15:47:54.993717+05:30,f
ChIJia1THgBXXBgR_XBHM8AoNAs,Fungu Yasin,Sights & landmarks,tourist_attraction,Unguja,Magharibi,-6.5942864,39.2248332,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkOvoE97N5Ie9BwZoMpRnTZb8mEhtua5hrTf-IEmlXBz8nO0Sk_9k8XaeSmLhMo9LNTqZ3-JXNHK3Tiq-MYN8mJIdJe4v5peLRSy0W3MrY7UzVPomCSQlcuhdyzQUtD2Fe6etih36Xj5B58=w915-h1220-k-no,10,APPLICATION,2026-09-15 23:52:47.940799+05:30,APPLICATION,2026-09-16 16:15:18.860153+05:30,f
ChIJIRE3XAD3XBgRvxOyg6-xUJQ,Nancy Farm house,Nature & parks,park,Unguja,Magharibi,-6.5796902,39.0872516,,4,APPLICATION,2026-09-15 23:52:47.915471+05:30,,,f
ChIJXZgkPwD3XBgRmJtqi7jmz-w,El Corazón,Sights & landmarks,tourist_attraction,Unguja,Magharibi,-6.5741283,39.110845,,5,APPLICATION,2026-09-15 23:52:47.919587+05:30,,,f
ChIJw-wIVgD1XBgReeYqAY3sj60,Bwawa Udindivu,Sights & landmarks,historical_landmark,Unguja,Magharibi,-6.5793548,39.0609083,,6,APPLICATION,2026-09-15 23:52:47.924346+05:30,,,f
ChIJz9xEFQD3XBgR_NXaqJejZwI,Foxtail camp,Nature & parks,garden,Unguja,Magharibi,-6.5873291,39.126495,,8,APPLICATION,2026-09-15 23:52:47.932135+05:30,,,f
ChIJQVt5xQH3XBgR7fDxAURAKAY,Gorofa la chuma,Nature & parks,garden,Unguja,Magharibi,-6.5997095,39.1199739,,9,APPLICATION,2026-09-15 23:52:47.936181+05:30,,,f
ChIJLZyPPQT3XBgR3RcmhCe5iP8,BJS-Paris,Sights & landmarks,tourist_attraction,Unguja,Magharibi,-6.5375451,39.0854944,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlCN3eMk18FBUMF7srt87wtSBO4oIYFyWZpkw25lYTLHEVdwPmJI0RWv3Tg3pPPnIb7mXgwTQjKX-1sD0Sjy5ty61rQuJeViETGebrTfnmFm1YhRWPPzSHIaQVVGDtH9NcSouDd=w915-h1220-k-no,16,APPLICATION,2026-09-15 23:52:47.962587+05:30,APPLICATION,2026-09-16 16:44:10.77989+05:30,f
ChIJo2-Amqf3XBgR6XxpHg1-KDg,Whistling Pines Home (Malmø),Nature & parks,park,Unguja,Magharibi,-6.5602893,39.0995619,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlftn5hZAFDa94fFKJwF8rTmntRX-uVfaZ_arADSYFo6YhqwPzhvIWf8alHH9-MtDh7zUrMREZyMLN1BypgfO_stQs298euzUDOsvk5rLgeMa3PpP0jP7NxaKWQiTQneSQdLWE=w915-h1220-k-no,12,APPLICATION,2026-09-15 23:52:47.947875+05:30,APPLICATION,2026-09-16 17:08:20.306524+05:30,f
ChIJD4GJx-b3XBgRipy0DdqUJyg,Mangrove Forest Reserve,Nature & parks,national_park,Unguja,Magharibi,-6.542750000000001,39.0909584,,14,APPLICATION,2026-09-15 23:52:47.95449+05:30,,,f
ChIJbYe9c3_3XBgRMcOMGBGD0rA,Paris Zoo,Wildlife,zoo,Unguja,Magharibi,-6.5365781,39.086278,,15,APPLICATION,2026-09-15 23:52:47.958513+05:30,,,f
ChIJbRXB-2PxXBgRco-4ZCmSRGk,Mpaka wa Maliasili(Magrove Forest),Nature & parks,national_park,Unguja,Magharibi,-6.533303399999999,39.0858438,,17,APPLICATION,2026-09-15 23:52:47.966461+05:30,,,f
ChIJyc_JXxX3XBgRQh6BJ2jG0iE,Kiembeni Beach - Fresh Air Great Life,Activities & adventure,hiking_area,Unguja,Magharibi,-6.5590639,39.1103072,,18,APPLICATION,2026-09-15 23:52:47.97013+05:30,,,f
